U_up,U_low
-0.128,-0.148
-0.128,-0.157
-0.128,-0.157
-0.128,-0.155
,
0.125,0.151
0.131,0.165
0.129,0.155
0.129,0.152
0.134,0.153
0.134,0.153
0.133,0.152
0.135,0.151
0.134,0.152
0.133,0.148
0.132,0.149
0.133,0.147
0.133,0.146
0.133,0.145
,
0.118,0.121
0.119,0.123
0.073,0.076
0.118,0.121
0.119,0.121
0.119,0.121
0.097,0.098
0.12,0.114
0.121,0.115
0.122,0.114
0.122,0.113
0.123,0.112
0.122,0.113
0.122,0.112
0.121,0.114
0.121,0.113
0.12,0.114
0.12,0.114
0.12,0.114
0.12,0.114
0.065,0.06
0.111,0.105
0.118,0.112
0.118,0.113
0.118,0.113
0.119,0.114
0.119,0.114
0.119,0.114
0.119,0.113
0.119,0.114
0.119,0.114
0.119,0.113
0.109,0.102
0.004,0.001
0.051,0.047
0.131,0.123
0.154,0.145
0.154,0.147
0.154,0.146
0.155,0.147
0.155,0.147
0.155,0.146
0.155,0.147
0.155,0.147
0.155,0.147
0.155,0.147
0.154,0.147
0.155,0.146
0.155,0.147
0.155,0.147
0.155,0.147
0.155,0.148
0.155,0.147
0.155,0.148
0.155,0.147
0.155,0.148
0.155,0.147
0.155,0.146
0.155,0.146
0.155,0.146
0.155,0.146
0.155,0.147
0.155,0.147
0.155,0.146
0.155,0.147
0.155,0.146
0.155,0.147
0.155,0.147
0.155,0.146
0.155,0.147
0.155,0.147
0.155,0.146
0.155,0.146
0.154,0.146
0.155,0.146
0.155,0.145
0.155,0.145
0.155,0.146
0.155,0.146
0.155,0.146
0.155,0.147
0.155,0.146
0.155,0.146
0.154,0.148
0.155,0.147
0.155,0.147
0.155,0.146
0.155,0.146
0.154,0.148
0.155,0.146
0.154,0.147
0.155,0.146
0.154,0.147
0.154,0.147
0.154,0.147
0.154,0.146
0.154,0.146
0.154,0.147
0.153,0.149
0.154,0.147
0.154,0.148
0.154,0.148
0.154,0.15
0.156,0.151
0.155,0.151
0.155,0.152
0.153,0.153
0.153,0.155
0.153,0.155
0.154,0.155
0.153,0.156
0.153,0.156
0.152,0.157
0.151,0.158
0.151,0.158
0.152,0.158
0.152,0.159
0.152,0.159
0.152,0.16
0.151,0.16
0.15,0.161
0.15,0.16
0.15,0.161
0.15,0.161
0.149,0.161
0.149,0.162
0.15,0.161
0.149,0.162
0.15,0.161
0.15,0.162
0.15,0.162
0.15,0.162
0.15,0.161
0.151,0.161
0.151,0.162
0.151,0.162
0.152,0.161
0.152,0.161
0.152,0.161
0.152,0.161
0.152,0.161
0.153,0.161
0.153,0.16
0.153,0.16
0.154,0.16
0.154,0.16
0.154,0.159
0.154,0.159
0.155,0.159
0.155,0.158
0.156,0.157
0.156,0.156
0.156,0.155
0.157,0.154
0.157,0.153
0.158,0.152
0.158,0.152
0.158,0.151
0.158,0.15
0.158,0.151
0.158,0.15
0.158,0.151
0.157,0.15
0.157,0.151
0.157,0.151
0.156,0.151
0.156,0.151
0.156,0.15
0.156,0.149
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.149
0.156,0.15
0.156,0.149
0.156,0.149
0.156,0.149
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.15
0.156,0.149
0.156,0.151
0.156,0.151
0.156,0.15
0.156,0.15
0.156,0.151
0.156,0.151
0.156,0.151
0.156,0.152
0.156,0.152
0.156,0.153
0.156,0.153
0.156,0.153
0.156,0.153
0.156,0.153
0.156,0.153
0.157,0.152
0.157,0.152
0.157,0.152
0.157,0.152
0.157,0.152
0.157,0.152
0.157,0.152
0.156,0.152
0.156,0.152
0.157,0.15
0.157,0.151
0.156,0.151
0.156,0.151
0.156,0.15
0.156,0.151
0.156,0.151
0.156,0.152
0.156,0.151
0.156,0.15
0.156,0.151
0.156,0.151
0.156,0.151
0.156,0.149
0.156,0.149
0.156,0.15
0.156,0.15
0.156,0.148
0.156,0.149
0.156,0.15
0.156,0.149
0.156,0.148
0.156,0.148
0.156,0.149
0.156,0.148
0.156,0.15
0.156,0.148
0.156,0.148
0.156,0.147
0.156,0.147
0.155,0.151
0.155,0.149
0.155,0.148
0.155,0.15
0.156,0.149
0.155,0.151
0.156,0.153
0.156,0.152
0.156,0.154
0.156,0.154
0.155,0.156
0.158,0.155
0.157,0.156
0.156,0.157
0.154,0.158
0.154,0.158
0.154,0.158
0.156,0.158
0.156,0.158
0.156,0.159
0.156,0.159
0.154,0.16
0.152,0.161
0.152,0.161
0.151,0.163
0.151,0.162
0.151,0.162
0.151,0.162
0.151,0.162
0.151,0.162
0.151,0.162
0.151,0.162
0.151,0.163
0.151,0.163
0.151,0.163
0.152,0.162
0.152,0.163
0.152,0.162
0.152,0.163
0.153,0.162
0.157,0.152
0.157,0.155
0.155,0.15
0.155,0.149
0.155,0.148
0.154,0.148
0.154,0.148
0.155,0.147
0.156,0.148
0.158,0.147
0.157,0.147
0.156,0.146
0.156,0.146
0.156,0.146
0.156,0.145
0.156,0.145
0.155,0.145
0.156,0.145
0.156,0.144
